[0.000000] (-) TimerEvent: {}
[0.000413] (-) JobUnselected: {'identifier': 'cmake_helpers'}
[0.000550] (-) JobUnselected: {'identifier': 'game_engine'}
[0.000621] (-) JobUnselected: {'identifier': 'manager_utils'}
[0.000681] (-) JobUnselected: {'identifier': 'resource_builder'}
[0.000741] (-) JobUnselected: {'identifier': 'resource_utils'}
[0.000829] (-) JobUnselected: {'identifier': 'robo_cleaner_common'}
[0.000896] (-) JobUnselected: {'identifier': 'robo_cleaner_gui'}
[0.000977] (-) JobUnselected: {'identifier': 'robo_cleaner_interfaces'}
[0.001040] (-) JobUnselected: {'identifier': 'robo_collector_common'}
[0.001101] (-) JobUnselected: {'identifier': 'robo_collector_controller'}
[0.001159] (-) JobUnselected: {'identifier': 'robo_collector_gui'}
[0.001217] (-) JobUnselected: {'identifier': 'robo_collector_interfaces'}
[0.001274] (-) JobUnselected: {'identifier': 'robo_common'}
[0.001335] (-) JobUnselected: {'identifier': 'robo_miner_common'}
[0.001425] (-) JobUnselected: {'identifier': 'robo_miner_controller'}
[0.001487] (-) JobUnselected: {'identifier': 'robo_miner_gui'}
[0.001560] (-) JobUnselected: {'identifier': 'robo_miner_interfaces'}
[0.001623] (-) JobUnselected: {'identifier': 'ros2_game_engine'}
[0.001679] (-) JobUnselected: {'identifier': 'sdl_utils'}
[0.001737] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.001794] (-) JobUnselected: {'identifier': 'ur_client_library'}
[0.001849] (-) JobUnselected: {'identifier': 'ur_control_gui'}
[0.001903] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.001958] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.002044] (-) JobUnselected: {'identifier': 'ur_description'}
[0.002121] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.002196] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.002271] (-) JobUnselected: {'identifier': 'urscript_bridge'}
[0.002344] (-) JobUnselected: {'identifier': 'urscript_common'}
[0.002418] (-) JobUnselected: {'identifier': 'urscript_interfaces'}
[0.002491] (-) JobUnselected: {'identifier': 'utils'}
[0.002566] (-) EventReactorShutdown: {}
